04/15/23 6:05:14: style.scss - Undefined variable $import-google-fonts: style.scss on line 113, at column 1
04/15/23 6:05:30: style.scss - Undefined variable $import-google-fonts: style.scss on line 113, at column 1
04/15/23 6:54:11: style.scss - Undefined variable $import-google-fonts: style.scss on line 113, at column 1
04/15/23 6:59:37: style.scss - Undefined variable $import-google-fonts: style.scss on line 113, at column 1
05/06/24 10:53:00: style.scss - parse error: failed at `border-color: $ultraviolet` /Users/troycono/Local_Sites/work-sandy/app/public/wp-content/themes/dogghouse-fct/scss/style.scss on line 188, at column 3
05/06/24 10:53:05: style.scss - parse error: failed at `border-color: $ultraviolet` /Users/troycono/Local_Sites/work-sandy/app/public/wp-content/themes/dogghouse-fct/scss/style.scss on line 188, at column 3
05/06/24 10:55:06: style.scss - parse error: failed at `border-color: $ultraviolet` /Users/troycono/Local_Sites/work-sandy/app/public/wp-content/themes/dogghouse-fct/scss/style.scss on line 188, at column 3
05/06/24 10:55:06: style.scss - parse error: failed at `border-color: $ultraviolet` /Users/troycono/Local_Sites/work-sandy/app/public/wp-content/themes/dogghouse-fct/scss/style.scss on line 188, at column 3
05/06/24 10:55:33: style.scss - parse error: failed at `border-color: $ultraviolet` /Users/troycono/Local_Sites/work-sandy/app/public/wp-content/themes/dogghouse-fct/scss/style.scss on line 188, at column 3
05/06/24 10:56:07: style.scss - parse error: failed at `border-color: $ultraviolet` /Users/troycono/Local_Sites/work-sandy/app/public/wp-content/themes/dogghouse-fct/scss/style.scss on line 188, at column 3
05/06/24 10:56:12: style.scss - parse error: failed at `border-color: $ultra-violet` /Users/troycono/Local_Sites/work-sandy/app/public/wp-content/themes/dogghouse-fct/scss/style.scss on line 188, at column 3
05/06/24 10:57:17: style.scss - Undefined variable $deepsea: style.scss on line 195, at column 4
05/06/24 10:58:08: style.scss - Undefined variable $medgray: style.scss on line 267, at column 4
05/06/24 11:06:52: style.scss - Undefined variable $ultraviolet: style.scss on line 188, at column 3
05/06/24 11:06:52: style.scss - Undefined variable $ultraviolet: style.scss on line 188, at column 3
